,N,macroF1,microF1,accuracy,cm,dev
0,10,0.47089707221419697,0.4888798481149986,0.4888798481149986,"[[1667  216    5  668]
 [  59  753   14 1730]
 [   1   49 1185 1027]
 [   0    0    0    0]]",SET train
1,13,0.5376364466739568,0.5951993490642798,0.5951993490642798,"[[1845  220    5  486]
 [  46  871   11 1628]
 [   2   26 1673  561]
 [   0    0    0    0]]",SET train
2,18,0.551058162690964,0.6254407377271495,0.6254407377271495,"[[1812  305    4  435]
 [  27  854    7 1668]
 [   2   18 1946  296]
 [   0    0    0    0]]",SET train
3,25,0.5926963606079656,0.7028749660970979,0.7028749660970979,"[[1781  582    1  192]
 [  19 1421    4 1112]
 [   0   22 1981  259]
 [   0    0    0    0]]",SET train
4,35,0.5915492662004431,0.708706265256306,0.708706265256306,"[[1671  726    1  158]
 [  15 1527    1 1013]
 [   0   13 2028  221]
 [   0    0    0    0]]",SET train
5,48,0.5942560582191343,0.7139951179820992,0.7139951179820992,"[[1729  716    0  111]
 [  17 1480    1 1058]
 [   1   12 2056  193]
 [   0    0    0    0]]",SET train
6,67,0.6018452279554045,0.7348793056685651,0.7348793056685652,"[[1661  804    0   91]
 [  17 1696    0  843]
 [   0   14 2062  186]
 [   0    0    0    0]]",SET train
7,92,0.596116775930133,0.7301328993761866,0.7301328993761866,"[[1563  892    0  101]
 [   9 1727    0  820]
 [   0   13 2094  155]
 [   0    0    0    0]]",SET train
8,126,0.594049754952052,0.7342012476267968,0.7342012476267968,"[[1496  985    0   75]
 [   9 1816    0  731]
 [   0   15 2102  145]
 [   0    0    0    0]]",SET train
9,174,0.5898394554183511,0.7339300244100894,0.7339300244100895,"[[1409 1069    0   78]
 [   4 1886    0  666]
 [   0   16 2117  129]
 [   0    0    0    0]]",SET train
10,239,0.5842125102254829,0.7355573637103335,0.7355573637103336,"[[1304 1184    1   67]
 [   4 2004    0  548]
 [   0   19 2116  127]
 [   0    0    0    0]]",SET train
11,329,0.567655058401883,0.7255221046921616,0.7255221046921616,"[[1119 1382    1   54]
 [   4 2096    0  456]
 [   0   29 2135   98]
 [   0    0    0    0]]",SET train
12,452,0.5642159700224091,0.7268782207756984,0.7268782207756984,"[[1065 1440    1   50]
 [   3 2161    1  391]
 [   0   29 2134   99]
 [   0    0    0    0]]",SET train
13,621,0.5375947307473622,0.7004339571467317,0.7004339571467317,"[[ 877 1638    1   40]
 [   1 2209    2  344]
 [   0   71 2079  112]
 [   0    0    0    0]]",SET train
14,853,0.530827547168574,0.6962299972877678,0.6962299972877678,"[[ 824 1688    1   43]
 [   1 2257    2  296]
 [   0   89 2053  120]
 [   0    0    0    0]]",SET train
15,1172,0.5250267298292095,0.6880933007865473,0.6880933007865473,"[[ 806 1700    2   48]
 [   1 2257    2  296]
 [   1  120 2011  130]
 [   0    0    0    0]]",SET train
16,1610,0.5161321162966888,0.6803634391103879,0.6803634391103879,"[[ 752 1759    1   44]
 [   3 2297    2  254]
 [   4  134 1968  156]
 [   0    0    0    0]]",SET train
17,2212,0.5107059905710186,0.6783292649850827,0.6783292649850827,"[[ 696 1811    6   43]
 [   4 2316    1  235]
 [   2  118 1990  152]
 [   0    0    0    0]]",SET train
18,3039,0.49981242671213144,0.6735828586927041,0.6735828586927041,"[[ 618 1898    5   35]
 [   7 2370    3  176]
 [   4  150 1979  129]
 [   0    0    0    0]]",SET train
19,4175,0.5074032797299654,0.6784648765934364,0.6784648765934364,"[[ 688 1820    5   43]
 [   7 2369    6  174]
 [   4  178 1946  134]
 [   0    0    0    0]]",SET train
20,5736,0.5066919697170538,0.681583943585571,0.681583943585571,"[[ 674 1831    9   42]
 [   8 2390   13  145]
 [   3  184 1962  113]
 [   0    0    0    0]]",SET train
