,N,macroF1,microF1,accuracy,cm,dev
0,10,0.5535466352293731,0.6494565217391305,0.6494565217391305,"[[ 35  12   0   6]
 [  4  15   8  18]
 [  3  23 165  45]
 [  0   3   7  24]]",Twitter train
1,12,0.6685857746904259,0.7961956521739132,0.7961956521739131,"[[ 42   8   0   3]
 [  7  15  15   8]
 [  3  16 214   3]
 [  0   4   8  22]]",Twitter train
2,14,0.714199909954267,0.8396739130434783,0.8396739130434783,"[[ 41   8   1   3]
 [  4  19  15   7]
 [  1   5 228   2]
 [  0   4   9  21]]",Twitter train
3,17,0.7418373788975453,0.8586956521739132,0.8586956521739131,"[[ 47   5   0   1]
 [  5  18  14   8]
 [  1   4 228   3]
 [  0   4   7  23]]",Twitter train
4,21,0.7256298818434017,0.8532608695652174,0.8532608695652174,"[[ 48   4   0   1]
 [  4  17  15   9]
 [  2   4 229   1]
 [  0   5   9  20]]",Twitter train
5,25,0.7250273850149475,0.8478260869565218,0.8478260869565217,"[[ 48   4   0   1]
 [  4  24  11   6]
 [  1   7 225   3]
 [  0   6  13  15]]",Twitter train
6,30,0.7558124534143685,0.8695652173913043,0.8695652173913043,"[[ 49   3   0   1]
 [  4  24  11   6]
 [  1   3 230   2]
 [  0   5  12  17]]",Twitter train
7,37,0.7652139182077904,0.8831521739130435,0.8831521739130435,"[[ 52   0   0   1]
 [  3  21  14   7]
 [  1   0 235   0]
 [  1   5  11  17]]",Twitter train
8,44,0.7998763141620284,0.8967391304347826,0.8967391304347826,"[[ 53   0   0   0]
 [  2  27  12   4]
 [  2   1 233   0]
 [  0   8   9  17]]",Twitter train
9,54,0.7926237294575853,0.9021739130434784,0.9021739130434783,"[[ 52   0   0   1]
 [  3  31   6   5]
 [  2   0 234   0]
 [  0  11   8  15]]",Twitter train
10,65,0.7881554335892696,0.8994565217391305,0.8994565217391305,"[[ 50   2   0   1]
 [  2  34   6   3]
 [  2   0 234   0]
 [  0  10  11  13]]",Twitter train
11,79,0.7909131149356405,0.9021739130434784,0.9021739130434783,"[[ 50   2   0   1]
 [  2  36   5   2]
 [  2   1 233   0]
 [  0  13   8  13]]",Twitter train
12,95,0.7836403792286145,0.904891304347826,0.904891304347826,"[[ 48   4   0   1]
 [  1  40   0   4]
 [  2   1 233   0]
 [  0  15   7  12]]",Twitter train
13,115,0.7839220177103334,0.904891304347826,0.904891304347826,"[[ 48   5   0   0]
 [  1  41   0   3]
 [  2   2 232   0]
 [  2  15   5  12]]",Twitter train
14,138,0.792925753415709,0.9103260869565217,0.9103260869565217,"[[ 50   3   0   0]
 [  1  41   0   3]
 [  2   2 232   0]
 [  1  16   5  12]]",Twitter train
15,167,0.8044097615385916,0.9130434782608695,0.9130434782608695,"[[ 50   3   0   0]
 [  1  41   0   3]
 [  1   3 232   0]
 [  0  15   6  13]]",Twitter train
16,202,0.7969883040935672,0.9103260869565217,0.9103260869565217,"[[ 49   4   0   0]
 [  1  42   0   2]
 [  2   2 232   0]
 [  0  15   7  12]]",Twitter train
17,244,0.7863137501908688,0.907608695652174,0.907608695652174,"[[ 49   3   0   1]
 [  0  43   0   2]
 [  3   2 231   0]
 [  0  18   5  11]]",Twitter train
18,294,0.7810811218291426,0.904891304347826,0.904891304347826,"[[ 48   4   0   1]
 [  1  43   0   1]
 [  3   2 231   0]
 [  0  19   4  11]]",Twitter train
19,355,0.7888548923617649,0.904891304347826,0.904891304347826,"[[ 49   3   0   1]
 [  1  42   1   1]
 [  2   4 230   0]
 [  0  19   3  12]]",Twitter train
20,429,0.7883129265355279,0.904891304347826,0.904891304347826,"[[ 49   3   0   1]
 [  2  42   0   1]
 [  2   4 230   0]
 [  0  18   4  12]]",Twitter train
21,517,0.7713317732406699,0.8913043478260869,0.8913043478260869,"[[ 46   6   0   1]
 [  1  43   0   1]
 [  2   7 227   0]
 [  0  21   1  12]]",Twitter train
22,625,0.7617642231529234,0.8885869565217391,0.8885869565217391,"[[ 45   8   0   0]
 [  3  41   0   1]
 [  2   5 229   0]
 [  0  22   0  12]]",Twitter train
23,754,0.7542289883794119,0.8831521739130435,0.8831521739130435,"[[ 45   8   0   0]
 [  2  42   0   1]
 [  3   6 227   0]
 [  0  21   2  11]]",Twitter train
24,910,0.7690064102564103,0.8858695652173914,0.8858695652173914,"[[ 43  10   0   0]
 [  2  42   0   1]
 [  2   6 228   0]
 [  0  17   4  13]]",Twitter train
25,1098,0.7714164700925126,0.8940217391304348,0.8940217391304348,"[[ 45   8   0   0]
 [  2  42   0   1]
 [  2   4 230   0]
 [  0  19   3  12]]",Twitter train
26,1325,0.7672180599092084,0.8858695652173914,0.8858695652173914,"[[ 44   9   0   0]
 [  2  42   0   1]
 [  2   6 227   1]
 [  0  20   1  13]]",Twitter train
27,1599,0.7601975479699374,0.8831521739130435,0.8831521739130435,"[[ 44   9   0   0]
 [  1  42   1   1]
 [  4   4 227   1]
 [  0  19   3  12]]",Twitter train
28,1930,0.7691152294442585,0.8804347826086957,0.8804347826086957,"[[ 46   7   0   0]
 [  0  43   1   1]
 [  1  12 223   0]
 [  0  19   3  12]]",Twitter train
29,2329,0.7549534146485233,0.8695652173913043,0.8695652173913043,"[[ 43  10   0   0]
 [  0  43   1   1]
 [  1  13 222   0]
 [  0  19   3  12]]",Twitter train
30,2811,0.7387630218702079,0.8614130434782609,0.8614130434782609,"[[ 43  10   0   0]
 [  0  43   0   2]
 [  1  14 220   1]
 [  0  20   3  11]]",Twitter train
31,3393,0.7383463768389577,0.8614130434782609,0.8614130434782609,"[[ 42  11   0   0]
 [  0  43   1   1]
 [  1  13 221   1]
 [  0  20   3  11]]",Twitter train
32,4094,0.741402201734679,0.8641304347826086,0.8641304347826086,"[[ 42  11   0   0]
 [  0  44   1   0]
 [  1  12 221   2]
 [  0  21   2  11]]",Twitter train
33,4941,0.7437493925452707,0.8641304347826086,0.8641304347826086,"[[ 43  10   0   0]
 [  0  45   0   0]
 [  1  13 219   3]
 [  0  21   2  11]]",Twitter train
34,5963,0.7482923214778053,0.8722826086956522,0.8722826086956522,"[[ 42  11   0   0]
 [  0  43   2   0]
 [  1  10 225   0]
 [  0  21   2  11]]",Twitter train
