,macroF1,microF1,CM,dataset,split,clf
0,0.7668685960091502,0.875,"[[ 38  14   1   0]
 [  1  40   3   1]
 [  1   4 228   3]
 [  0  12   6  16]]",Twitter,dev,Bertic 1 epochs
1,0.711990783141818,0.845528455284553,"[[ 20  15   0   1]
 [  0  26   3   1]
 [  0   3 152   3]
 [  0   8   4  10]]",Twitter,test,Bertic 1 epochs
2,0.41307254258388615,0.6432058584214809,"[[  12 2540    0    4]
 [   1 2543    0   12]
 [   0   72 2188    2]
 [   0    0    0    0]]",SETimes,dev,Bertic 1 epochs
3,0.4131240714447929,0.6533970276008493,"[[  0 638   0   2]
 [  0 638   0   1]
 [  0  11 593   1]
 [  0   0   0   0]]",SETimes,test,Bertic 1 epochs
4,0.5629588764506794,0.7554347826086957,"[[ 12  36   3   2]
 [  0  43   1   1]
 [  0  19 212   5]
 [  0  14   9  11]]",Twitter,dev,Bertic 3 epochs
5,0.569078034893058,0.7723577235772358,"[[  4  29   2   1]
 [  0  29   1   0]
 [  0   8 146   4]
 [  0   9   2  11]]",Twitter,test,Bertic 3 epochs
6,0.36943326952490674,0.5758068890697043,"[[   1 2554    0    1]
 [   0 2551    0    5]
 [   0  561 1694    7]
 [   0    0    0    0]]",SETimes,dev,Bertic 3 epochs
7,0.3667756907069025,0.576963906581741,"[[  0 640   0   0]
 [  0 639   0   0]
 [  0 156 448   1]
 [  0   0   0   0]]",SETimes,test,Bertic 3 epochs
8,0.7224325745623921,0.8423913043478262,"[[ 34   7  10   2]
 [  2  37   3   3]
 [  1   5 225   5]
 [  0   8  12  14]]",Twitter,dev,Bertic 5 epochs
9,0.6548648817325096,0.8170731707317073,"[[ 12  12   9   3]
 [  0  28   2   0]
 [  1   3 152   2]
 [  0   7   6   9]]",Twitter,test,Bertic 5 epochs
10,0.37218077310068765,0.5774342283699485,"[[   9 2537    3    7]
 [   1 2544    0   11]
 [   0  533 1705   24]
 [   0    0    0    0]]",SETimes,dev,Bertic 5 epochs
11,0.3749619817769546,0.5875796178343949,"[[  1 637   0   2]
 [  0 636   0   3]
 [  0 132 470   3]
 [  0   0   0   0]]",SETimes,test,Bertic 5 epochs
